30-Apr-20,FALSE,FALSE,1,0:33,mobile,Direct,2,8:56 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,8:56 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
29-Apr-20,FALSE,FALSE,3,18:53,desktop,Direct,2,7:01 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,6:42 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,desktop,Direct,1,11:29 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,desktop,Direct,1,10:52 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
28-Apr-20,FALSE,FALSE,1,1:33,desktop,Direct,3,9:51 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,9:49 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,9:49 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
30-Apr-20,FALSE,FALSE,1,0:00,mobile,Direct,1,12:14 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
29-Apr-20,FALSE,FALSE,2,0:00,mobile,Direct,1,12:28 PM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,0:46,mobile,Direct,4,8:02 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,8:02 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,8:02 AM,PAGEVIEW,Contact | E-Shopping,/contact-us.html,Contact | E-Shopping
,,,,,,,,8:01 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
30-Apr-20,FALSE,FALSE,2,0:00,mobile,Direct,1,8:49 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,12:27,mobile,Direct,3,12:16 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,12:04 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,12:04 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
29-Apr-20,FALSE,FALSE,1,16:16,mobile,Direct,2,8:17 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,8:00 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
30-Apr-20,FALSE,FALSE,2,6:46,mobile,Direct,2,10:19 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,10:12 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,mobile,Direct,1,9:10 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
29-Apr-20,FALSE,FALSE,1,3:48,mobile,Direct,12,6:36 PM,PAGEVIEW,Home | E-Shopping,/index.html,Home | E-Shopping
,,,,,,,,6:36 PM,PAGEVIEW,Home | E-Shopper,/404.html,Home | E-Shopper
,,,,,,,,6:35 PM,PAGEVIEW,Contact | E-Shopping,/contact-us.html,Contact | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Home | E-Shopping,/index.html,Home | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Home | E-Shopper,/404.html,Home | E-Shopper
,,,,,,,,6:35 PM,PAGEVIEW,Blog Single | E-Shopping,/blog-single.html,Blog Single | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Login | E-Shopping,/login.html,Login | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Checkout | E-Shopping,/checkout.html,Checkout | E-Shopping
,,,,,,,,6:35 PM,PAGEVIEW,Product Details | E-Shopper,/product-details.html,Product Details | E-Shopper
,,,,,,,,6:35 PM,PAGEVIEW,Shop | E-Shopping,/shop.html,Shop | E-Shopping
,,,,,,,,6:32 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
30-Apr-20,FALSE,FALSE,2,0:00,desktop,Direct,1,9:58 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,17:43,desktop,Direct,5,9:15 AM,PAGEVIEW,Login | E-Shopping,/login.html,Login | E-Shopping
,,,,,,,,9:15 AM,PAGEVIEW,Login | E-Shopping,/login.html,Login | E-Shopping
,,,,,,,,9:15 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,9:15 AM,PAGEVIEW,Checkout | E-Shopping,/checkout.html,Checkout | E-Shopping
,,,,,,,,8:57 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
29-Apr-20,FALSE,FALSE,2,0:00,mobile,Direct,1,12:45 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,mobile,Direct,1,12:07 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
29-Apr-20,FALSE,FALSE,2,0:00,mobile,Direct,1,12:45 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,mobile,Direct,1,12:07 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
29-Apr-20,FALSE,FALSE,2,1:33,mobile,Direct,10,6:32 PM,PAGEVIEW,Contact | E-Shopping,/contact-us.html,Contact | E-Shopping
,,,,,,,,6:32 PM,PAGEVIEW,Home | E-Shopping,/index.html,Home | E-Shopping
,,,,,,,,6:32 PM,PAGEVIEW,Home | E-Shopper,/404.html,Home | E-Shopper
,,,,,,,,6:32 PM,PAGEVIEW,Blog Single | E-Shopping,/blog-single.html,Blog Single | E-Shopping
,,,,,,,,6:31 PM,PAGEVIEW,Login | E-Shopping,/login.html,Login | E-Shopping
,,,,,,,,6:31 PM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,6:31 PM,PAGEVIEW,Checkout | E-Shopping,/checkout.html,Checkout | E-Shopping
,,,,,,,,6:31 PM,PAGEVIEW,Product Details | E-Shopper,/product-details.html,Product Details | E-Shopper
,,,,,,,,6:31 PM,PAGEVIEW,Shop | E-Shopping,/shop.html,Shop | E-Shopping
,,,,,,,,6:31 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,0:00,mobile,Direct,1,9:18 AM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,,,,,,,,,
29-Apr-20,FALSE,FALSE,2,0:00,mobile,Direct,1,10:02 PM,PAGEVIEW,Home | E-Shopping,/,Home | E-Shopping
,,,,10:57,mobile,Direct,18,11:55 AM,PAGEVIEW,Login | E-Shopping,/login.html,Login | E-Shopping
,,,,,,,,11:55 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,11:54 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
,,,,,,,,11:54 AM,PAGEVIEW,Cart | E-Shopping,/cart.html,Cart | E-Shopping
