1,A1,A1,,,,,,,,,,,,,,,,,,,
2,A1,A1,A1,A1,A1,A1,A1,,,,,,,,,,,,,,
3,A2,A2,A2,A1,A3,A1,,,,,,,,,,,,,,,
4,A1,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,
5,A1,A1,A1,A4,A5,A3,A4,A5,A6,A7,A2,A8,A9,A10,A1,,,,,,
6,A1,A7,A7,A2,A8,A1,,,,,,,,,,,,,,,
7,A1,A1,,,,,,,,,,,,,,,,,,,
8,A1,A1,,,,,,,,,,,,,,,,,,,
9,A3,A4,A5,A6,A7,A2,A8,A9,A10,A1,A1,,,,,,,,,,
10,A1,A7,A2,A2,A2,A2,A8,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A10,A1,,
11,A1,A1,A10,A10,A10,A1,,,,,,,,,,,,,,,
12,A1,A1,,,,,,,,,,,,,,,,,,,
13,A8,A8,A8,A8,A1,,,,,,,,,,,,,,,,
14,A1,A1,,,,,,,,,,,,,,,,,,,
15,A1,A1,A1,,,,,,,,,,,,,,,,,,
16,A7,A2,A8,A9,A10,A7,A8,A8,A2,A1,A1,,,,,,,,,,
17,A1,A1,A1,,,,,,,,,,,,,,,,,,
18,A1,A1,A1,,,,,,,,,,,,,,,,,,
19,A1,A7,A7,A2,A2,A2,A1,A5,A1,A1,,,,,,,,,,,
20,A1,,,,,,,,,,,,,,,,,,,,
21,A1,A1,,,,,,,,,,,,,,,,,,,
22,A1,,,,,,,,,,,,,,,,,,,,
23,A1,A10,A1,,,,,,,,,,,,,,,,,,
24,A1,,,,,,,,,,,,,,,,,,,,
25,A5,A3,A6,A7,A2,A8,A9,A10,A1,,,,,,,,,,,,
26,A1,A11,A1,A1,A1,,,,,,,,,,,,,,,,
27,A10,A10,A10,A1,,,,,,,,,,,,,,,,,
28,A1,,,,,,,,,,,,,,,,,,,,
29,A1,,,,,,,,,,,,,,,,,,,,
30,A7,A7,A7,A7,A7,A7,A7,A2,A8,A1,,,,,,,,,,,
31,A1,A8,A7,A5,A7,A8,A8,A1,,,,,,,,,,,,,
32,A1,,,,,,,,,,,,,,,,,,,,
33,A1,A1,,,,,,,,,,,,,,,,,,,
34,A1,,,,,,,,,,,,,,,,,,,,
35,A1,A1,A4,A4,A7,A7,A7,A7,A7,A7,A2,A1,,,,,,,,,
36,A3,A3,A4,A5,A7,A2,A9,A10,A1,,,,,,,,,,,,
37,A1,,,,,,,,,,,,,,,,,,,,
38,A1,,,,,,,,,,,,,,,,,,,,
39,A1,,,,,,,,,,,,,,,,,,,,
40,A8,A8,A8,A8,A8,A10,A10,A1,,,,,,,,,,,,,
41,A1,,,,,,,,,,,,,,,,,,,,
42,A2,A9,A10,A9,A3,A1,,,,,,,,,,,,,,,
43,A1,,,,,,,,,,,,,,,,,,,,
44,A1,,,,,,,,,,,,,,,,,,,,
45,A1,,,,,,,,,,,,,,,,,,,,
46,A4,A3,A3,A6,A5,A6,A7,A2,A9,A10,A1,,,,,,,,,,
47,A1,,,,,,,,,,,,,,,,,,,,
48,A1,,,,,,,,,,,,,,,,,,,,
49,A10,A10,A10,A10,A1,,,,,,,,,,,,,,,,
50,A1,,,,,,,,,,,,,,,,,,,,
51,A1,,,,,,,,,,,,,,,,,,,,
52,A1,,,,,,,,,,,,,,,,,,,,
53,A1,,,,,,,,,,,,,,,,,,,,
54,A1,A1,,,,,,,,,,,,,,,,,,,
55,A1,,,,,,,,,,,,,,,,,,,,
56,A1,,,,,,,,,,,,,,,,,,,,
57,A1,A1,,,,,,,,,,,,,,,,,,,
58,A1,,,,,,,,,,,,,,,,,,,,
59,A1,,,,,,,,,,,,,,,,,,,,
60,A1,,,,,,,,,,,,,,,,,,,,
61,A1,,,,,,,,,,,,,,,,,,,,
62,A1,,,,,,,,,,,,,,,,,,,,
63,A2,A2,A2,A1,,,,,,,,,,,,,,,,,
64,A7,A2,A8,A9,A10,A1,,,,,,,,,,,,,,,
65,A1,,,,,,,,,,,,,,,,,,,,
66,A1,,,,,,,,,,,,,,,,,,,,
67,A1,,,,,,,,,,,,,,,,,,,,
68,A8,A1,,,,,,,,,,,,,,,,,,,
69,A1,A1,,,,,,,,,,,,,,,,,,,
70,A8,A8,A8,A10,A10,A10,A10,A10,A10,A10,A1,A1,A1,,,,,,,,
71,A1,,,,,,,,,,,,,,,,,,,,
72,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A7,A1,,,,,,,,,
73,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,,,,,,,
74,A1,,,,,,,,,,,,,,,,,,,,
75,A1,,,,,,,,,,,,,,,,,,,,
76,A1,,,,,,,,,,,,,,,,,,,,
77,A1,,,,,,,,,,,,,,,,,,,,
78,A1,A1,,,,,,,,,,,,,,,,,,,
79,A1,,,,,,,,,,,,,,,,,,,,
80,A4,A8,A8,A8,A8,A8,A8,A2,A1,,,,,,,,,,,,
81,A1,A1,A1,,,,,,,,,,,,,,,,,,
82,A1,,,,,,,,,,,,,,,,,,,,
83,A10,A10,A10,A1,,,,,,,,,,,,,,,,,
84,A1,,,,,,,,,,,,,,,,,,,,
85,A6,A1,A7,A5,A7,A7,A1,,,,,,,,,,,,,,
86,A1,,,,,,,,,,,,,,,,,,,,
87,A9,A8,A9,A2,A10,A4,A5,A6,A4,A1,A1,,,,,,,,,,
88,A10,A10,A1,,,,,,,,,,,,,,,,,,
89,A1,,,,,,,,,,,,,,,,,,,,
90,A4,A7,A2,A8,A3,A3,A3,A3,A3,A3,A3,A5,A4,A5,A6,A7,A2,A8,A9,A10,A1
91,A1,,,,,,,,,,,,,,,,,,,,
